QLearning;20;16.0;10720.0;10.0
QLearning;19;16.0;10590.0;10.0
QLearning;18;16.0;11310.0;10.0
QLearning;17;16.0;10590.0;10.0
QLearning;16;16.0;10120.0;10.0
QLearning;15;16.0;11930.0;10.0
QLearning;14;16.0;11200.0;10.0
QLearning;13;16.0;12640.0;10.0
QLearning;12;16.0;13750.0;10.0
QLearning;11;15.0;10720.0;10.0
QLearning;10;15.0;10840.0;10.0
QLearning;9;15.0;10750.0;10.0
QLearning;8;15.0;12130.0;10.0
QLearning;7;15.0;13900.0;10.0
QLearning;6;15.0;14160.0;10.0
QLearning;5;15.0;10180.0;10.0
QLearning;4;15.0;12980.0;10.0
QLearning;3;15.0;12360.0;10.0
QLearning;2;16.0;12050.0;11.0
QLearning;1;16.0;14900.0;14.0
Random;20;100.0;104520.0;100.0
Random;19;100.0;102520.0;100.0
Random;18;100.0;96590.0;100.0
Random;17;100.0;112300.0;100.0
Random;16;100.0;106610.0;100.0
Random;15;100.0;108200.0;100.0
Random;14;100.0;103840.0;100.0
Random;13;100.0;101610.0;100.0
Random;12;100.0;112730.0;100.0
Random;11;100.0;98690.0;100.0
Random;10;100.0;102800.0;100.0
Random;9;100.0;112450.0;100.0
Random;8;100.0;102410.0;100.0
Random;7;100.0;109750.0;100.0
Random;6;99.0;104000.0;100.0
Random;5;99.0;106610.0;100.0
Random;4;99.0;105050.0;100.0
Random;3;99.0;109100.0;100.0
Random;2;100.0;104990.0;101.0
Random;1;100.0;103880.0;101.0

